
 Lista de Imóveis da Caixa;;Data de geração:;19/09/2025;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso

 8787702888943 ;RS ;ALVORADA ;FORMOZA ;RUA OSCAR SCHICK, N. 2350, CS 62 SETOR 01 ;115.442,98;191.000,00;39.56;Casa, 82.24 de área total, 49.47 de área privativa, 101.42 de área do terreno,  1 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787702888943
 8787704797899 ;RS ;ALVORADA ;FORMOZA ;RUA OSCAR SCHICK, N. 2350, CS 10 SETOR 11 ;127.531,25;211.000,00;39.56;Casa, 82.25 de área total, 49.48 de área privativa, 105.66 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787704797899
 8444429661259 ;RS ;ALVORADA ;JARDIM ALGARVE ;RUA CENTO E VINTE E UM, N. 134, Apto 301, ;91.829,38;121.000,00;24.11;Apartamento, 31.91 de área total, 31.91 de área privativa, 0.00 de área do terreno,  1 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444429661259
 8444425237436 ;RS ;ALVORADA ;ALGARVE ;RUA 142, N. 85, Apto 304, ;138.000,00;138.000,00;0.00;Apartamento, 35.72 de área total, 35.72 de área privativa, 0.00 de área do terreno,  1 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444425237436
 8444429084880 ;RS ;ALVORADA ;JARDIM ALGARVE ;RUA IRAUNAS, N. 225, Apto 201, LT 66 QD A-96 LOT ALGARVE ;150.000,00;150.000,00;0.00;Apartamento, 35.62 de área total, 30.70 de área privativa, 0.00 de área do terreno,  1 qto(s), varanda, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444429084880
 8444406534579 ;RS ;ALVORADA ;APARECIDA ;RUA DOM PEDRITO, N. 221, CHACARA 01 QD 31 ;167.670,00;167.670,00;0.00;Casa, 40.74 de área total, 40.74 de área privativa, 231.00 de área do terreno,  2 qto(s), WC, 1 sala(s).;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444406534579
 8444427239290 ;RS ;ALVORADA ;BELA VISTA ;RUA  23 AMAPA, N. 441, Apto 22, LT 29 QD E-1 LOT PQ RES UMBU ;164.000,00;164.000,00;0.00;Apartamento, 0.00 de área total, 51.88 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444427239290
 8787700643943 ;RS ;ALVORADA ;PASSO DO FEIJO ;RUA ALBION, N. 669, Apto 402, VG 15 ;210.000,00;185.000,00;0.00;Apartamento, 0.00 de área total, 57.89 de área privativa, 0.00 de área do terreno,  2 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787700643943
 8044500518837 ;RS ;ALVORADA ;STELLA MARIS ;ESTRADA CAMINHO DO MEIO, N. 5425, CS 44 TIPO B QD C ;230.000,00;200.000,00;0.00;Casa, 62.34 de área total, 58.64 de área privativa, 143.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8044500518837
 8444428214810 ;RS ;ALVORADA ;JARDIM ALGARVE ;RUA SIRIEMA, N. 210, Apto 201, QD B-31 LT 11 LOT ALGARVE ;175.499,61;140.000,00;0.00;Apartamento, 39.50 de área total, 38.29 de área privativa, 0.00 de área do terreno,  1 qto(s), varanda, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444428214810
 1444406732950 ;RS ;ALVORADA ;STELLA MARIS ;ESTRADA CAMINHO DO MEIO, N. 5425, CASA 20 QD C ;239.480,96;172.000,00;0.00;Casa, 49.64 de área total, 46.72 de área privativa, 143.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444406732950
 10143308 ;RS ;BAGE ;INDUSTRIAL I ;RUA JOSE LUIZ MACHADO, N. SN, PARTE DOS LTS 11 E 12, QD 64 ;37.947,37;105.000,00;63.86;Casa, 0.00 de área total, 54.00 de área privativa, 300.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10143308
 10143309 ;RS ;BAGE ;INDUSTRIAL I ;RUA JOSE LUIZ MACHADO, N. 890, PARTES DOS LTS 11 E 12, QD 64 ;50.081,37;136.500,00;63.32;Casa, 0.00 de área total, 40.00 de área privativa, 300.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10143309
 10151606 ;RS ;BAGE ;MENINO DEUS ;RUA DUZENTOS E DEZOITO, N. 1570, QD 24, LT 3 - 8 ;63.920,66;153.000,00;58.23;Terreno, 0.00 de área total, 0.00 de área privativa, 903.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10151606
 10176581 ;RS ;BAGE ;CENTRO ;RUA FABRICIO PILAR, N. 486, QD 01, LT 07 ;61.857,52;126.000,00;50.91;Casa, 0.00 de área total, 48.00 de área privativa, 300.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10176581
 1444417424658 ;RS ;BAGE ;MENINO DEUS ;RUA DR CARLOS MANGABEIRA, N. 1576, LT 05 QD T ;194.536,93;354.000,00;45.05;Casa, 0.00 de área total, 90.39 de área privativa, 349.68 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444417424658
 8444407390813 ;RS ;BAGE ;MENINO DEUS ;RUA ARMANDO XAVIER AZAMBUJA, N. 1498, LT 01 QD 31 ;43.568,30;75.000,00;41.91;Terreno, 0.00 de área total, 300.00 de área privativa, 300.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444407390813
